feature,importance,pct
forks_count,2075,17.63
age_days,1894,16.1
open_issues_count,1484,12.61
size,1104,9.38
readme_emb_99,619,5.26
readme_emb_34,383,3.25
readme_emb_176,376,3.2
readme_emb_319,367,3.12
readme_emb_280,341,2.9
readme_emb_187,318,2.7
readme_emb_18,313,2.66
readme_emb_273,312,2.65
readme_emb_267,298,2.53
readme_emb_47,276,2.35
readme_emb_127,274,2.33
readme_emb_227,273,2.32
readme_emb_61,271,2.3
readme_emb_90,270,2.29
readme_emb_125,261,2.22
readme_emb_366,258,2.19
